# Label	X est	Y est	Z est
Marker point 1	0.010597	0.019984	1.530091
Marker point 2	-0.030359	0.990613	1.825939
Marker point 3	1.019761	0.989403	1.82557
point 1	0.575712	1.006309	1.738644
point 10	0.507299	1.039148	1.754416
point 100	0.630456	0.900358	1.758905
point 101	0.631027	0.909027	1.757016
point 102	0.636172	0.895735	1.759783
point 103	0.641167	0.904562	1.754503
point 104	0.640941	0.914405	1.751765
point 105	0.650146	0.916432	1.7512
point 106	0.646258	0.888416	1.765966
point 107	0.652346	0.888601	1.767967
point 108	0.645309	0.898484	1.760916
point 109	0.650747	0.90377	1.761315
point 11	0.478811	1.042527	1.748972
point 110	0.65847	0.901503	1.763352
point 111	0.672189	0.899102	1.756161
point 112	0.667092	0.903118	1.757256
point 113	0.667407	0.906512	1.755754
point 114	0.682318	0.915814	1.74187
point 115	0.671989	0.9139	1.747247
point 116	0.627403	0.915223	1.754837
point 117	0.636615	0.924846	1.740032
point 118	0.677053	0.893311	1.761958
point 119	0.69153	0.873562	1.766311
point 12	0.466471	1.054648	1.742911
point 120	0.689958	0.876673	1.764787
point 121	0.677555	0.87825	1.768833
point 122	0.682749	0.907286	1.747497
point 123	0.687118	0.910583	1.742517
point 124	0.697548	0.905578	1.751849
point 125	0.689122	0.902254	1.754475
point 126	0.690483	0.897052	1.757343
point 127	0.684177	0.897677	1.757512
point 128	0.681257	0.886112	1.762616
point 129	0.688915	0.885754	1.765264
point 13	0.474593	1.064889	1.744503
point 130	0.69085	0.880904	1.765898
point 131	0.685037	0.881566	1.765653
point 132	0.699223	0.870113	1.775485
point 133	0.708562	0.867062	1.778188
point 134	0.713431	0.861011	1.763457
point 135	0.716316	0.85802	1.766032
point 136	0.704659	0.853928	1.768571
point 137	0.710901	0.849224	1.768922
point 138	0.715188	0.843241	1.769701
point 139	0.693611	0.838471	1.769487
point 14	0.58647	0.994723	1.743373
point 140	0.695994	0.843832	1.769838
point 141	0.696557	0.849009	1.769274
point 142	0.687317	0.846264	1.77857
point 143	0.690056	0.8531	1.773405
point 144	0.682146	0.846611	1.780042
point 145	0.77192	0.844149	1.721957
point 146	0.680526	0.930289	1.751495
point 147	0.678787	0.939301	1.754684
point 148	0.675261	0.936462	1.760739
point 149	0.672104	0.942895	1.769522
point 15	0.490956	1.044963	1.751051
point 150	0.662278	0.951144	1.771784
point 151	0.660604	0.971563	1.761466
point 152	0.660826	0.964879	1.765117
point 153	0.649128	0.975512	1.757577
point 154	0.641656	0.963018	1.751227
point 155	0.64775	0.959377	1.765919
point 156	0.65153	0.945469	1.76924
point 157	0.65169	0.949884	1.771079
point 158	0.661474	0.938806	1.769474
point 159	0.652088	0.935329	1.764649
point 16	0.477337	1.053003	1.749236
point 160	0.663848	0.923182	1.760716
point 161	0.668752	0.932059	1.76466
point 162	0.653985	0.928576	1.761588
point 163	0.64833	0.858301	1.767733
point 164	0.655093	0.854064	1.771515
point 165	0.687372	0.941134	1.746951
point 166	0.689659	0.928615	1.748532
point 167	0.693921	0.936037	1.750375
point 168	0.667194	0.964655	1.758291
point 169	0.670479	0.962103	1.756168
point 17	0.475147	1.035785	1.744284
point 170	0.683263	0.947071	1.746008
point 171	0.689264	0.951663	1.746063
point 172	0.706042	0.9035	1.767265
point 173	0.703754	0.909001	1.763088
point 174	0.710414	0.901011	1.770311
point 175	0.719695	0.912149	1.771065
point 176	0.716276	0.90202	1.772664
point 177	0.723053	0.910456	1.7706
point 178	0.73037	0.905831	1.765543
point 179	0.707367	0.812537	1.806071
point 18	0.513321	1.014874	1.75459
point 180	0.681996	0.795892	1.794149
point 181	0.5763	0.764656	1.793598
point 182	0.598994	0.819593	1.778479
point 183	0.604985	0.839537	1.767168
point 184	0.600158	0.828684	1.774245
point 185	0.620076	0.838388	1.7776
point 186	0.616567	0.832955	1.777422
