# Label	X est	Y est	Z est
Marker 1	-0.015288	0.000232	0.909811
Marker 2	1.01552	0.016056	1.228824
Marker 3	0.999768	0.983712	1.518965
point 10	0.300631	1.285094	0.955343
point 100	0.150326	0.929034	0.7924
point 101	0.223679	0.998541	0.841407
point 102	0.241845	0.996436	0.85138
point 103	0.2188	0.996706	0.827922
point 104	0.20504	0.980035	0.829614
point 105	0.208767	0.951641	0.838282
point 106	0.215363	0.924631	0.858252
point 107	0.123266	0.930505	0.787424
point 108	0.104197	0.944588	0.777176
point 109	0.094269	0.959793	0.751354
point 11	0.362162	1.252112	0.950676
point 110	0.103552	0.981991	0.761113
point 111	0.102244	0.984042	0.739281
point 112	0.125035	0.969059	0.783471
point 113	0.148573	0.978664	0.775579
point 114	0.145294	1.001088	0.759168
point 115	0.240572	0.974038	0.87123
point 116	0.235317	0.957579	0.878801
point 117	0.228311	0.948081	0.869216
point 118	0.251135	0.952879	0.899012
point 119	0.22679	0.922962	0.876615
point 12	0.393463	1.18619	1.007704
point 120	0.231174	0.934441	0.878904
point 121	0.236344	0.944772	0.882937
point 122	0.222771	0.934399	0.864721
point 123	0.241059	0.913239	0.899432
point 124	0.239825	0.922526	0.961248
point 125	0.251609	0.918063	0.969375
point 126	0.259885	0.934897	0.975145
point 127	0.250791	0.936035	0.967257
point 128	0.3016	0.984227	0.931929
point 129	0.311872	0.971258	0.965005
point 13	0.365566	1.193823	0.995615
point 130	0.330763	1.00394	0.955173
point 131	0.328367	1.007049	0.948195
point 132	0.329937	1.035791	0.979873
point 133	0.323787	1.045122	0.977354
point 134	0.302282	1.064075	0.960706
point 135	0.323704	1.063015	0.983073
point 136	0.308612	1.080574	0.987569
point 137	0.33138	1.10542	0.997981
point 138	0.331295	1.073876	0.997964
point 139	0.323816	1.09202	0.993447
point 14	0.374582	1.221496	0.978459
point 140	0.317705	1.031676	1.027945
point 141	0.321064	1.038557	1.031414
point 142	0.328332	1.04794	1.033578
point 143	0.333412	1.061056	1.028727
point 144	0.347488	1.088443	1.018084
point 145	0.363859	1.118626	1.003459
point 146	0.377389	1.113625	1.015736
point 147	0.418419	1.278069	1.012377
point 148	0.417823	1.285373	1.020879
point 149	0.385275	1.34028	1.011333
point 15	0.343786	1.187314	0.973574
point 150	0.330739	1.2653	0.964657
point 151	0.368748	1.30566	0.931351
point 152	0.357757	1.302864	0.933438
point 153	0.316797	1.018683	1.041696
point 154	0.350633	1.009063	1.065333
point 155	0.371803	1.026894	1.060341
point 156	0.404946	1.068461	1.053733
point 157	0.413281	1.036071	1.070247
point 158	0.424116	1.046291	1.073442
point 159	0.407212	1.046297	1.067175
point 16	0.278697	1.263129	0.919569
point 160	0.414017	1.158048	1.018541
point 161	0.452776	1.08635	1.029143
point 162	0.457828	1.129855	0.987445
point 163	0.464173	1.118248	0.99637
point 164	0.415943	1.122714	1.010917
point 165	0.437134	1.149067	1.000881
point 166	0.471686	1.092591	1.024435
point 167	0.523942	1.201591	1.144547
point 168	0.542501	1.185839	1.110595
point 169	0.58431	1.162354	1.052659
point 17	0.249213	1.223084	0.890101
