# Label	X est	Y est	Z est
Marker 2	0.99324	0.010076	1.175965
Marker 3	1.394282	0.469482	1.013358
Marker_1	-0.007522	0.280442	1.210677
Model_corner_1	0.364354	-0.418195	1.452233
Model_corner_2	1.824992	0.752507	0.374857
Model_corner_3	0.93235	1.934338	0.400975
Model_corner_4	-0.502492	1.091116	1.619843
point 10	0.91424	1.166736	0.749788
point 100	0.518678	0.893279	1.100322
point 101	0.131782	0.794697	0.965772
point 102	0.21712	0.856747	0.975039
point 103	0.206127	0.835263	0.967081
point 104	0.250923	0.812363	0.975719
point 105	0.845357	1.437882	0.669966
point 106	0.931974	1.208324	0.698673
point 107	1.064207	1.031363	0.676459
point 108	0.523531	1.013857	1.026501
point 109	0.552624	1.011125	1.039304
point 11	0.807634	0.888388	0.878711
point 110	0.853756	0.801037	0.974844
point 111	0.873787	0.880723	0.890588
point 112	0.006967	0.681721	1.100233
point 113	0.347789	0.611979	1.029159
point 114	0.274583	0.633351	1.006575
point 115	0.320993	0.59972	1.007957
point 116	0.202601	0.495052	1.095144
point 117	0.404115	0.406338	1.094155
point 12	0.872583	0.928931	0.869196
point 13	0.740052	0.973608	0.938266
point 14	0.948659	0.839596	0.995818
point 15	0.903854	0.800025	1.008441
point 16	0.90558	0.789762	1.027219
point 17	0.627622	0.452159	0.990122
point 18	0.609248	0.541399	0.966209
point 19	0.667111	0.533747	0.964969
point 20	0.567963	0.602751	0.999071
point 21	0.615132	0.583611	0.938802
point 22	0.662805	0.640009	0.939354
point 23	0.559428	0.673036	0.913725
point 24	0.527743	0.684037	0.923572
point 25	0.564924	0.52585	0.999239
point 26	0.490305	0.552906	1.10879
point 27	0.54265	0.744596	0.904884
point 28	0.465249	0.598704	1.001803
point 29	0.601046	0.728307	0.901996
point 30	0.698892	0.688606	0.906219
point 31	0.202053	0.780966	0.969516
point 32	0.26508	0.759785	0.995204
point 33	0.109614	0.775067	1.082047
point 34	0.304966	0.434981	1.117495
point 35	0.334748	0.501289	1.067604
point 36	0.238626	0.577095	1.027163
point 37	0.225011	0.614252	1.024364
point 38	0.500546	1.19922	0.947851
point 39	0.576347	1.187521	0.900454
point 4	0.747617	0.437961	1.014115
point 40	0.53209	1.196186	0.916613
point 41	0.319637	0.951159	0.960944
point 42	0.558995	1.087839	0.887633
point 43	0.675959	1.073928	0.911956
point 44	0.618465	1.049727	0.938151
point 45	0.510435	1.113987	0.89508
point 46	0.475487	1.096493	0.900453
point 47	0.541188	1.073132	0.913274
point 48	0.541532	1.059742	0.977444
point 49	0.688339	1.01815	0.9692
point 5	0.798526	0.427655	1.017856
point 50	0.590789	1.042093	0.988784
point 51	0.464365	1.075213	0.949649
point 52	0.408038	1.047136	0.923753
point 53	0.421568	1.038458	0.930978
point 54	0.495491	1.062592	0.984967
point 55	0.548048	1.048534	1.018678
point 56	0.384319	0.962197	0.960848
point 57	0.508817	0.986927	1.043371
point 58	0.497964	0.946699	1.060872
point 59	0.407249	0.95271	1.050399
point 6	0.686917	0.486232	0.984161
point 60	0.436239	1.023485	0.951102
point 61	0.714752	1.128716	0.927347
point 62	0.734878	1.420519	0.670055
point 63	0.888924	1.33835	0.521951
point 64	0.876938	1.233935	0.607203
point 65	1.059816	0.657859	1.060409
point 66	0.169907	0.489966	1.103173
point 67	0.368213	0.644144	1.04121
point 68	0.466373	0.593262	1.096963
point 69	0.314914	0.527092	1.069739
point 7	1.001801	1.118221	0.679753
point 70	0.952704	0.666524	1.035657
point 71	0.290153	0.585355	1.013819
point 72	0.223986	0.439405	1.121865
point 73	0.290135	0.554403	1.049157
point 74	0.140613	0.645309	1.084342
point 75	0.112036	0.568323	1.099172
point 76	0.48183	0.621661	0.973935
point 77	0.417531	0.673652	0.985269
point 78	0.71211	0.725448	0.89705
point 79	0.776433	0.746583	0.922489
point 8	0.985058	1.10229	0.694617
point 80	0.658341	0.882438	0.952451
point 81	0.66807	0.90734	0.988651
point 82	0.523211	0.825281	1.054391
point 83	0.61858	0.861757	1.020781
point 84	0.591815	0.849513	1.025142
point 85	0.632539	0.862318	0.991695
point 86	0.91191	0.752017	1.081312
point 87	0.750446	0.924001	0.942388
point 88	0.797717	0.935443	0.89822
point 89	1.01976	0.908511	1.048515
point 9	1.054982	1.008127	0.704483
point 90	0.593153	0.960214	1.09779
point 91	0.626472	0.982514	1.07696
point 92	0.644798	0.985877	1.050741
point 93	0.506947	1.030301	0.992603
point 94	0.448913	0.968574	1.01515
point 95	0.482043	1.003083	1.00255
point 96	0.292328	0.913284	0.954319
point 97	0.325863	0.877657	0.971212
point 98	0.295425	0.760109	0.99122
point 99	0.295466	0.812794	0.988266
