# Label	X est	Y est	Z est
point 246	0.420971	0.521376	1.556873
point 247	0.459227	0.525258	1.562575
point 248	0.479275	0.521419	1.56602
point 249	0.490316	0.572801	1.572208
point 25	0.737658	0.629732	1.461262
point 250	0.481386	0.607248	1.581556
point 251	0.52434	0.614497	1.494536
point 252	0.543533	0.651584	1.541281
point 253	0.526206	0.623045	1.482469
point 254	0.552871	0.700212	1.521374
point 255	0.578607	0.606979	1.5576
point 256	0.57625	0.627594	1.554744
point 257	0.597488	0.610334	1.544291
point 258	0.595086	0.555681	1.562899
point 259	0.606893	0.862167	1.440474
point 26	0.613785	0.588955	1.545744
point 260	0.638788	0.739272	1.472765
point 261	0.660368	0.745249	1.454548
point 262	0.645098	0.768081	1.451703
point 263	0.6336	0.751229	1.455819
point 264	0.617921	0.772913	1.453495
point 265	0.593948	0.752671	1.45046
point 266	0.571708	0.77132	1.437814
point 267	0.554037	0.770759	1.473342
point 268	0.539174	0.737278	1.507499
point 269	0.539617	0.762021	1.494418
point 27	0.634844	0.565319	1.555952
point 270	0.515917	0.780186	1.490844
point 271	0.494604	0.750131	1.501753
point 272	0.536224	0.810581	1.444058
point 273	0.653019	0.846333	1.401687
point 274	0.478708	0.791358	1.477348
point 275	0.488171	0.835703	1.449315
point 276	0.510934	0.831723	1.445862
point 277	0.519603	0.847859	1.441587
point 278	0.50885	0.868489	1.431929
point 279	0.604696	0.372863	1.573128
point 28	0.655444	0.592631	1.533763
point 280	0.598733	0.407167	1.564267
point 281	0.567085	0.413046	1.565265
point 282	0.585523	0.437114	1.533833
point 283	0.535086	0.351901	1.621057
point 284	0.497486	0.416297	1.597099
point 285	0.489412	0.401189	1.614056
point 286	0.482999	0.471325	1.578229
point 287	0.455121	0.440511	1.585866
point 288	0.501766	0.449228	1.576712
point 289	0.536357	0.465225	1.518087
point 29	0.661268	0.600499	1.528764
point 290	0.424805	0.446421	1.576171
point 291	0.448529	0.394795	1.608781
point 3	0.91884	0.373171	1.451976
point 30	0.684527	0.589164	1.526837
point 31	0.722234	0.602554	1.466461
point 32	0.726407	0.604467	1.469261
point 33	0.696242	0.623282	1.513296
point 34	0.699623	0.631268	1.503082
point 35	0.675609	0.627586	1.5243
point 36	0.656393	0.648277	1.523174
point 37	0.628493	0.654624	1.517434
point 38	0.643247	0.624959	1.503172
point 39	0.707671	0.672594	1.482731
point 4	0.941468	0.374055	1.441405
point 40	0.683617	0.644831	1.48379
point 41	0.672826	0.665861	1.491219
point 42	0.741099	0.662393	1.476345
point 43	0.741452	0.675246	1.459412
point 44	0.749684	0.686507	1.45713
point 45	0.755254	0.670684	1.465077
point 46	0.781323	0.716916	1.418236
point 47	0.800532	0.721577	1.402311
point 48	0.841838	0.748979	1.378943
point 49	0.843694	0.741956	1.395773
point 5	0.926594	0.396925	1.442157
point 50	0.867532	0.74771	1.369845
point 51	0.821752	0.774756	1.387241
point 52	0.888897	0.798277	1.329346
point 53	0.870948	0.797384	1.329665
point 54	0.764002	0.760649	1.388603
point 55	0.764707	0.786418	1.334242
point 56	0.788187	0.788972	1.3503
point 57	0.787079	0.798569	1.339035
point 58	0.808724	0.852103	1.298576
point 59	0.915741	0.85832	1.299327
point 6	0.903931	0.425655	1.406115
point 60	0.833264	0.90806	1.329207
point 61	0.838343	0.92362	1.321163
point 62	0.855204	0.92007	1.301703
point 63	0.804055	0.934706	1.334283
point 64	0.796205	0.92121	1.331196
point 65	0.765017	0.911542	1.283196
point 66	0.746019	0.915284	1.282184
point 67	0.717768	0.892283	1.334172
point 68	0.712611	0.87984	1.334081
point 69	0.697934	0.865262	1.336346
point 7	0.867747	0.431816	1.446848
point 70	0.757023	1.012299	1.345856
point 71	0.750841	0.992263	1.356914
point 72	0.744087	0.981082	1.357943
point 73	0.725389	0.972069	1.370487
point 74	0.702325	0.981282	1.375916
point 75	0.713342	0.993382	1.359954
point 76	0.724261	0.986845	1.368699
point 77	0.674525	0.993281	1.376857
point 78	0.664023	0.986772	1.381621
point 79	0.652961	0.943129	1.405952
point 8	0.920187	0.445185	1.422341
point 80	0.654816	0.957703	1.40244
point 81	0.646035	0.966017	1.401606
point 82	0.631384	0.980558	1.397533
point 83	0.616719	0.981501	1.399962
point 84	0.548888	0.979917	1.359425
point 85	0.538032	0.97187	1.375866
point 86	0.547826	0.96025	1.3751
point 87	0.560603	0.957635	1.367508
point 88	0.564022	0.947517	1.374708
point 89	0.586627	0.910237	1.421243
point 9	0.89412	0.204342	1.50588
point 90	0.598056	0.918828	1.415213
point 91	0.592492	0.923647	1.412851
point 92	0.61789	0.927115	1.419241
point 93	0.572078	0.923906	1.417448
point 94	0.611741	0.928127	1.416705
point 95	0.510095	0.994761	1.412437
point 96	0.50774	1.015932	1.384982
point 97	0.497408	1.001153	1.410704
point 98	0.514343	1.007158	1.397741
point 99	0.502056	1.011139	1.394261
