# Label	X est	Y est	Z est
Marker_point_1	-0.024526	0.019043	1.213396
Marker_point_2	1.043569	0.007115	1.217031
Marker_point_3	0.980957	0.973842	0.922373
point 1	0.544161	0.104675	1.175555
point 10	0.251393	0.285514	1.045042
point 100	0.11895	0.694777	1.081863
point 101	0.114573	0.701425	1.080751
point 102	0.107263	0.695715	1.081583
point 103	0.134206	0.716136	1.014707
point 104	0.097403	0.684155	1.075171
point 105	0.085699	0.669342	1.087198
point 106	0.031897	0.678407	1.112558
point 107	0.052969	0.682088	1.100514
point 108	0.106155	0.749209	1.040757
point 109	0.055822	0.728673	1.033807
point 11	0.236243	0.289573	1.061116
point 110	0.041332	0.711325	1.092723
point 111	0.240928	0.700993	1.129776
point 112	0.237265	0.693318	1.131811
point 113	0.217141	0.695687	1.155285
point 114	0.259629	0.718962	1.06281
point 115	0.261595	0.716041	1.08686
point 116	0.237665	0.707535	1.108833
point 117	0.221669	0.714404	1.101491
point 118	0.199261	0.7014	1.104219
point 119	0.192358	0.707925	1.105887
point 12	0.239428	0.307614	1.055247
point 120	0.165739	0.725371	1.112709
point 121	0.161066	0.717788	1.115651
point 122	0.172939	0.712545	1.116486
point 123	0.197958	0.66086	1.154416
point 124	0.190008	0.645779	1.165279
point 125	0.248438	0.773388	1.08812
point 126	0.213025	0.793883	1.082618
point 127	0.212442	0.768589	1.125399
point 128	0.129729	0.794415	1.028268
point 129	0.168911	0.774267	1.063081
point 13	0.21562	0.303885	1.053659
point 130	0.158783	0.776347	1.080632
point 131	0.145433	0.778347	1.082993
point 132	-0.039783	0.774436	1.150535
point 133	-0.061136	0.70477	1.142895
point 134	-0.183987	0.700077	1.079435
point 135	-0.161644	0.68422	1.11052
point 136	-0.147601	0.723456	1.125361
point 137	-0.12167	0.780244	1.150589
point 138	-0.098267	0.711001	1.137519
point 139	-0.093587	0.817022	1.137782
point 14	0.194779	0.301593	1.034362
point 140	-0.115888	0.794285	1.139008
point 141	-0.136643	0.796583	1.109718
point 142	-0.13972	0.821034	1.102262
point 143	-0.125915	0.796255	1.091548
point 144	-0.153548	0.801533	1.105294
point 145	0.295443	0.787577	1.098557
point 146	0.272757	0.799219	1.094157
point 147	0.260962	0.813898	1.056615
point 148	0.269411	0.810842	1.06232
point 149	0.221781	0.825626	1.028256
point 15	0.213644	0.345855	1.04591
point 150	0.239351	0.648809	1.138303
point 151	0.290233	0.677595	1.135196
point 152	0.26557	0.69895	1.140531
point 153	0.272793	0.712039	1.121053
point 154	0.295323	0.709519	1.128984
point 155	0.339739	0.736138	1.107451
point 156	0.315447	0.744137	1.102617
point 157	0.363818	0.650505	1.185047
point 158	0.379717	0.658108	1.177448
point 159	0.357357	0.657621	1.163665
point 16	0.134028	0.268824	1.038761
point 160	0.382194	0.66659	1.14849
point 161	0.366935	0.665474	1.143152
point 162	0.466438	0.774956	1.020047
point 163	0.456588	0.795158	1.020259
point 164	0.469513	0.75567	1.074958
point 165	0.497378	0.759791	1.050402
point 166	0.464569	0.731991	1.074201
point 167	0.424076	0.756314	1.08883
point 168	0.409432	0.758568	1.099205
point 169	0.42051	0.743291	1.097799
point 17	0.119316	0.266113	1.043601
point 170	0.429196	0.735199	1.093171
point 171	0.443925	0.728139	1.059927
point 172	0.411789	0.731353	1.113748
point 173	0.542813	0.771589	1.010095
point 174	0.522062	0.757266	1.019876
point 175	0.527073	0.735366	1.028071
point 176	0.569037	0.734874	1.019048
point 177	0.564966	0.706428	1.041021
point 178	0.550206	0.715889	1.014201
point 179	0.584602	0.709127	0.994782
point 18	0.124127	0.27355	1.046505
point 180	0.615804	0.647506	1.088344
point 181	0.591201	0.643029	1.090077
point 182	0.575781	0.666926	1.085944
point 183	0.521852	0.656127	1.161323
point 184	0.490631	0.659199	1.125879
point 185	0.574441	0.584097	1.077599
point 186	0.479932	0.610276	1.131169
point 187	0.488965	0.618762	1.129644
point 188	0.504187	0.601844	1.142516
point 189	0.490693	0.599261	1.141751
point 19	0.116828	0.282793	1.05332
point 190	0.477899	0.601544	1.14626
point 191	0.486042	0.578942	1.14902
point 192	0.471096	0.575642	1.152042
point 193	0.45588	0.561558	1.143379
point 194	0.650944	0.603135	1.090934
point 195	0.610153	0.555208	1.070907
point 196	0.548095	0.550408	1.154723
point 197	0.723585	0.327168	1.094493
point 198	0.756062	0.361689	1.105999
point 199	0.720033	0.310808	1.106826
point 2	0.531215	0.167199	1.15524
point 20	0.106469	0.272786	1.069083
point 200	0.740613	0.305071	1.11896
point 201	0.831049	0.281017	1.110139
point 202	0.855471	0.233399	1.054872
point 203	0.925217	0.23216	1.062924
point 204	0.897549	0.200997	1.070377
point 205	0.811053	0.197446	1.112854
point 206	0.824387	0.439244	1.110085
point 207	0.786559	0.404249	1.044339
point 208	0.712739	0.475526	1.087143
point 209	0.726688	0.469928	1.088434
point 21	0.061278	0.245028	1.098943
point 210	0.678208	0.39106	1.099527
point 211	0.334921	0.270677	1.061153
point 212	0.363492	0.2995	1.081072
point 213	0.368983	0.354505	1.112404
point 214	0.438796	0.386702	1.125311
point 215	0.458015	0.291573	1.117422
point 216	0.517124	0.319862	1.148225
point 217	0.500964	0.325532	1.147682
point 218	0.531259	0.353108	1.133536
point 219	0.548583	0.402924	1.135064
point 22	0.031654	0.259857	1.117598
point 220	0.562211	0.376309	1.167165
point 221	0.577573	0.339375	1.111772
point 222	0.591442	0.334473	1.110327
point 223	0.592903	0.370488	1.121045
point 224	0.570336	0.382872	1.15728
point 225	0.617157	0.285307	1.092061
point 226	0.612809	0.306535	1.089897
point 227	0.66517	0.050027	1.108405
point 228	0.674609	0.053447	1.087706
point 229	0.657177	0.064889	1.109
point 23	-0.008479	0.23685	1.090579
point 230	0.648043	0.072802	1.070129
point 231	0.608297	0.058846	1.048486
point 232	0.62072	0.083197	1.047879
point 233	0.610271	0.040662	1.111869
point 234	0.641625	0.049851	1.141471
point 235	0.653804	0.046741	1.136717
point 236	0.724508	0.020512	1.113009
point 237	0.667994	0.032921	1.103268
point 238	0.800054	0.132377	1.155455
point 239	0.806263	0.118995	1.163943
point 24	-0.017783	0.234252	1.102821
point 240	0.841461	0.112403	1.16652
point 241	0.848059	0.094613	1.175559
point 242	0.90599	0.139512	1.080534
point 243	0.940157	0.141264	1.092679
point 244	0.958788	0.138079	1.070605
point 245	0.935154	0.114905	1.115177
point 246	0.982381	0.111318	1.066854
point 247	0.963529	0.087688	1.082973
point 248	0.98102	0.086433	1.072031
point 249	0.974312	0.07813	1.089691
point 25	0.018931	0.206878	1.10255
point 250	0.93336	0.052413	1.135504
point 251	0.909082	0.052736	1.153488
point 252	0.904877	0.091911	1.139522
point 253	0.925137	0.098282	1.141584
point 254	0.89558	0.109625	1.136967
point 255	0.88106	0.112691	1.150871
point 256	0.926885	0.127356	1.131819
point 257	0.823465	0.135396	1.093005
point 258	0.841832	0.128785	1.151028
point 259	0.933916	0.254578	1.061949
point 26	0.025685	0.188934	1.12294
point 260	0.924986	0.285415	1.066568
point 261	0.950047	0.265532	1.069054
point 262	0.951544	0.244845	1.071735
point 263	0.972449	0.235704	1.078436
point 264	0.969301	0.304052	1.039333
point 265	0.985264	0.318008	1.039215
point 266	1.009446	0.307848	1.030889
point 267	0.9853	0.360244	1.042886
point 268	0.985137	0.379113	1.04442
point 269	0.968336	0.386183	1.058505
point 27	0.063829	0.164524	1.11504
point 270	0.990036	0.451967	0.969599
point 271	0.974614	0.500874	1.014437
point 272	0.939115	0.458857	1.056291
point 273	0.943049	0.465913	1.049524
point 274	0.955256	0.540385	1.001407
point 275	0.978365	0.579961	0.995915
point 276	1.030877	0.527251	0.998661
point 277	1.035352	0.495408	0.996244
point 278	1.003802	0.522163	1.005989
point 279	1.041933	0.464937	1.006481
point 28	0.072804	0.270069	1.080622
point 280	0.68018	0.786501	0.934974
point 281	0.657684	0.843737	0.930358
point 282	0.635186	0.818343	0.936686
point 283	0.678611	0.745949	0.94961
point 284	0.667836	0.718091	0.987797
point 285	0.609659	0.823506	0.917293
point 286	0.743536	0.827635	0.918134
point 287	0.777632	0.817476	0.91756
point 288	0.7956	0.791226	0.929684
point 289	0.847083	0.790683	0.970667
point 29	0.077574	0.289686	1.081268
point 290	0.731799	0.703693	0.986479
point 291	0.700014	0.677838	1.017359
point 292	0.674105	0.611755	1.096669
point 293	0.699879	0.615117	1.072409
point 3	0.512291	0.191642	1.140198
point 30	0.074244	0.297134	1.073891
point 31	0.045632	0.287024	1.072759
point 32	0.048861	0.298019	1.072868
point 33	0.060601	0.308416	1.071926
point 34	0.074278	0.322563	1.07748
point 35	0.072376	0.311638	1.064344
point 36	0.07985	0.301101	1.06227
point 37	0.116315	0.302083	1.050015
point 38	0.125191	0.313679	1.049136
point 39	0.11101	0.317369	1.053128
point 4	0.558037	0.15105	1.103603
point 40	0.102873	0.324239	1.057748
point 41	0.124614	0.328751	1.054133
point 42	0.137957	0.336162	1.059571
point 43	0.110257	0.346773	1.065425
point 44	0.128141	0.353249	1.066707
point 45	0.142333	0.356695	1.074527
point 46	0.137795	0.376447	1.074463
point 47	0.148514	0.387995	1.080604
point 48	0.171811	0.398438	1.092844
point 49	0.170726	0.388842	1.089818
point 5	0.566025	0.155178	1.061473
point 50	0.205289	0.374767	1.076519
point 51	0.218791	0.403747	1.080919
point 52	0.089481	0.432745	1.082791
point 53	0.112358	0.443796	1.096869
point 54	0.12281	0.426947	1.105282
point 55	0.132451	0.425999	1.104081
point 56	0.138075	0.422221	1.09716
point 57	0.157085	0.40935	1.100682
point 58	0.175215	0.417626	1.102074
point 59	0.164021	0.430399	1.110195
point 6	0.603302	0.180757	1.097808
point 60	0.175563	0.434132	1.106546
point 61	0.179483	0.426294	1.100654
point 62	0.185125	0.43509	1.101546
point 63	0.198207	0.441657	1.097903
point 64	0.191864	0.429835	1.097916
point 65	0.185236	0.41867	1.09702
point 66	0.195027	0.418972	1.094071
point 67	0.199244	0.43125	1.09692
point 68	0.211769	0.423453	1.094882
point 69	0.222965	0.423625	1.088129
point 7	0.669859	0.139591	1.126219
point 70	0.224088	0.436968	1.085131
point 71	0.216048	0.439588	1.090862
point 72	-0.060294	0.233865	1.119168
point 73	-0.044576	0.175999	1.164792
point 74	-0.060567	0.196815	1.184216
point 75	-0.077988	0.195928	1.195165
point 76	-0.086149	0.195652	1.204102
point 77	-0.08822	0.208412	1.191499
point 78	-0.097088	0.214546	1.182622
point 79	-0.087204	0.220101	1.166064
point 8	0.171602	0.160532	0.990255
point 80	-0.107739	0.211301	1.199387
point 81	-0.119776	0.208532	1.207842
point 82	-0.124232	0.200608	1.212523
point 83	-0.130491	0.195476	1.211473
point 84	-0.120092	0.244896	1.178971
point 85	-0.138559	0.262022	1.174603
point 86	-0.12083	0.253311	1.159158
point 87	-0.136131	0.272636	1.150526
point 88	0.119998	0.527362	1.069502
point 89	0.1158	0.515409	1.067411
point 9	0.21925	0.190095	1.026816
point 90	0.121257	0.520353	1.070367
point 91	0.152749	0.551562	1.142531
point 92	0.121135	0.499068	1.151184
point 93	0.060082	0.4963	1.061793
point 94	0.050763	0.562841	1.117754
point 95	0.091311	0.625559	1.108355
point 96	0.095121	0.633374	1.106763
point 97	0.062017	0.633107	1.074563
point 98	0.090518	0.654538	1.085647
point 99	0.105646	0.663951	1.087734
