# Label,X/East,Y/North,Z/Altitude,X est,Y est,Z est
Marker_point_1,0.000000,0.000000,1.219200,-0.046307,0.009228,1.202273
Marker_point_2,0.000000,1.000000,0.914400,0.038589,0.944465,0.943089
Marker_point_3,1.000000,1.000000,1.219200,1.007718,1.046307,1.207438
point 1,,,,1.644868,-1.272209,2.127636
point 10,,,,1.570754,-1.115720,2.091627
point 100,,,,1.451998,-0.722479,2.009406
point 101,,,,1.502696,-0.658324,2.009215
point 102,,,,1.488899,-0.608137,1.965832
point 103,,,,1.470325,-0.698500,1.992695
point 104,,,,1.114018,-1.028955,1.756170
point 105,,,,1.228182,-1.008345,1.841744
point 106,,,,1.136853,-0.936053,1.681204
point 107,,,,1.206480,-0.837957,1.775130
point 108,,,,1.117056,-0.916808,1.672824
point 109,,,,1.120059,-0.886995,1.657452
point 11,,,,1.558992,-1.089392,2.089751
point 110,,,,1.115524,-0.854379,1.683297
point 111,,,,0.940672,-0.864777,1.596227
point 112,,,,0.978493,-0.888714,1.615880
point 113,,,,0.966003,-0.737788,1.600006
point 114,,,,0.942906,-0.774413,1.617187
point 115,,,,0.987257,-0.829093,1.602869
point 116,,,,1.017268,-0.838211,1.596988
point 117,,,,1.060657,-0.853607,1.622969
point 118,,,,1.064556,-0.835654,1.620720
point 119,,,,0.912259,-0.836922,1.611269
point 12,,,,1.566239,-1.079063,2.091564
point 120,,,,0.781888,-0.745245,1.682407
point 121,,,,0.762047,-0.727757,1.622887
point 122,,,,0.800330,-0.717596,1.599683
point 123,,,,0.804259,-0.649197,1.627514
point 124,,,,1.209086,-0.661195,1.733545
point 125,,,,1.225253,-0.726470,1.741525
point 126,,,,1.193286,-0.751443,1.730302
point 127,,,,1.172147,-0.707951,1.696643
point 128,,,,1.163736,-0.674977,1.816098
point 129,,,,1.239788,-0.694626,1.750379
point 13,,,,1.556886,-1.064655,2.087082
point 130,,,,0.747003,-0.636541,1.627060
point 131,,,,0.741056,-0.590434,1.610059
point 132,,,,0.663775,-0.529972,1.588600
point 133,,,,0.666061,-0.609079,1.587977
point 134,,,,0.604195,-0.568774,1.571755
point 135,,,,0.581547,-0.546091,1.537307
point 136,,,,0.612603,-0.502529,1.556328
point 137,,,,0.700550,-0.553955,1.587257
point 138,,,,0.740052,-0.568567,1.609352
point 139,,,,0.634251,-0.615055,1.585526
point 14,,,,1.530765,-1.061843,2.071430
point 140,,,,0.569392,-0.591065,1.564123
point 141,,,,0.567080,-0.570931,1.556089
point 142,,,,0.568910,-0.676536,1.566451
point 143,,,,0.560329,-0.524835,1.506442
point 144,,,,0.503296,-0.503382,1.488235
point 145,,,,0.483301,-0.498830,1.483461
point 146,,,,0.382315,-0.391775,1.410007
point 147,,,,0.396653,-0.353274,1.420910
point 148,,,,0.456750,-0.407586,1.422698
point 149,,,,1.028513,-0.550759,1.585959
point 15,,,,1.545578,-1.036816,2.067611
point 150,,,,0.908112,-0.744571,1.610216
point 151,,,,0.855263,-0.715469,1.604573
point 152,,,,0.906233,-0.622342,1.600720
point 153,,,,1.031595,-0.801677,1.604198
point 154,,,,0.986346,-0.852232,1.604753
point 155,,,,0.892818,-0.676272,1.608993
point 156,,,,1.246517,-0.517675,1.679174
point 157,,,,1.240902,-0.535880,1.682375
point 158,,,,1.410530,-0.356078,1.684732
point 159,,,,1.387604,-0.375247,1.688360
point 16,,,,1.518939,-1.029796,2.046111
point 160,,,,1.368542,-0.394592,1.695385
point 161,,,,1.368625,-0.371807,1.693355
point 162,,,,1.393413,-0.317574,1.644549
point 163,,,,1.479211,-0.304036,1.678225
point 164,,,,1.316326,-0.434304,1.675862
point 165,,,,1.302314,-0.451549,1.662537
point 166,,,,1.277602,-0.426207,1.637622
point 167,,,,1.181813,-0.486030,1.653143
point 168,,,,1.137575,-0.533046,1.626953
point 169,,,,1.140158,-0.462632,1.642209
point 17,,,,1.595029,-1.041023,2.115491
point 170,,,,1.120783,-0.511145,1.628357
point 171,,,,1.268578,-0.218883,1.560859
point 172,,,,1.296179,-0.190758,1.572692
point 173,,,,1.323085,-0.152276,1.567230
point 174,,,,1.348133,-0.246905,1.567796
point 175,,,,1.363959,-0.115432,1.566312
point 176,,,,1.335566,-0.066092,1.557233
point 177,,,,1.394390,-0.034063,1.567003
point 178,,,,1.492302,-0.071083,1.599942
point 179,,,,1.554148,0.193816,1.480693
point 18,,,,1.623012,-1.022989,2.095596
point 180,,,,1.607577,0.337097,1.423959
point 181,,,,1.560852,0.387505,1.380178
point 182,,,,1.574351,0.398363,1.361182
point 183,,,,1.646894,0.401785,1.380021
point 184,,,,1.620904,0.418534,1.378810
point 185,,,,1.455459,0.395401,1.371512
point 186,,,,1.472468,0.324958,1.391098
point 187,,,,1.477549,0.310977,1.397639
point 188,,,,1.460031,0.265284,1.425441
point 189,,,,1.529807,0.344082,1.405646
point 19,,,,1.587368,-1.076903,2.098505
point 190,,,,1.739872,0.499664,1.452352
point 191,,,,1.444534,0.475572,1.387385
point 192,,,,1.278588,0.194378,1.427477
point 193,,,,1.304896,0.206665,1.430055
point 194,,,,1.315941,0.162015,1.477698
point 195,,,,1.278537,0.150576,1.457112
point 196,,,,1.297231,0.186847,1.474279
point 197,,,,1.610791,0.704503,1.321223
point 198,,,,1.437854,0.756210,1.377713
point 199,,,,1.432850,0.740631,1.392418
