# Label,X/East,Y/North,Z/Altitude,X est,Y est,Z est
point 2,,,,1.643648,-1.231374,2.110503
point 20,,,,1.566400,-1.021472,2.077310
point 200,,,,1.448314,0.726050,1.390151
point 201,,,,1.588997,0.630973,1.350685
point 202,,,,1.413854,0.674588,1.474120
point 203,,,,1.306778,0.644202,1.395686
point 204,,,,1.339183,0.681505,1.484548
point 205,,,,1.272458,0.613581,1.426032
point 206,,,,1.254134,0.583802,1.431087
point 207,,,,1.401116,0.528135,1.393610
point 208,,,,1.323563,0.520031,1.404671
point 209,,,,1.340628,0.640591,1.385500
point 21,,,,1.490288,-1.042543,2.050053
point 210,,,,1.371985,0.417297,1.423856
point 211,,,,1.385807,0.434062,1.402586
point 212,,,,1.366217,0.474472,1.414978
point 213,,,,1.378957,0.521003,1.395616
point 214,,,,1.379015,0.480431,1.402178
point 215,,,,1.398780,0.423543,1.401177
point 216,,,,1.407893,0.428877,1.389440
point 217,,,,1.412914,0.423675,1.392297
point 218,,,,1.411880,0.412278,1.399393
point 219,,,,1.172932,0.844239,1.318875
point 22,,,,1.449983,-0.980859,2.051822
point 220,,,,1.141440,0.747697,1.356317
point 221,,,,1.152102,0.730536,1.349231
point 222,,,,1.190329,0.706888,1.367794
point 223,,,,1.195730,0.689165,1.378453
point 224,,,,1.092660,0.692430,1.367252
point 225,,,,1.187590,0.666738,1.354432
point 226,,,,1.118706,0.650575,1.354317
point 227,,,,1.121733,0.571478,1.375660
point 228,,,,1.141635,0.605019,1.374013
point 229,,,,1.203300,0.668355,1.378271
point 23,,,,1.423870,-1.041917,1.984523
point 230,,,,1.158243,0.621886,1.358320
point 231,,,,1.055191,0.651827,1.405758
point 232,,,,1.046899,0.623990,1.325155
point 233,,,,1.006497,0.613612,1.364888
point 234,,,,1.093615,0.511112,1.509754
point 235,,,,1.040236,0.517655,1.502569
point 236,,,,1.053190,0.500343,1.504744
point 237,,,,1.071096,0.512477,1.503568
point 238,,,,1.084051,0.490520,1.530999
point 239,,,,1.031680,0.484838,1.510913
point 24,,,,1.418488,-0.958868,2.010197
point 240,,,,1.092618,0.473558,1.545426
point 241,,,,1.062010,0.446701,1.532507
point 242,,,,0.983144,0.459100,1.482858
point 243,,,,0.989432,0.449884,1.487234
point 244,,,,1.005046,0.456770,1.491167
point 245,,,,1.020596,0.418856,1.491991
point 246,,,,1.010777,0.441597,1.503690
point 247,,,,1.036338,0.457094,1.517732
point 248,,,,1.016516,0.454845,1.504183
point 249,,,,0.969809,0.437811,1.505250
point 25,,,,1.203791,-1.370800,1.863436
point 250,,,,1.068470,0.389516,1.516760
point 251,,,,1.072967,0.455976,1.539489
point 252,,,,1.071525,0.431547,1.523314
point 253,,,,1.079166,0.439720,1.537241
point 254,,,,1.153215,0.375237,1.489707
point 255,,,,1.146451,0.360545,1.502292
point 256,,,,1.129608,0.366025,1.500838
point 257,,,,1.096158,0.360412,1.552800
point 258,,,,1.094562,0.359050,1.566237
point 259,,,,1.076249,0.361309,1.576492
point 26,,,,1.245753,-1.334138,1.932749
point 260,,,,1.072288,0.369615,1.560792
point 261,,,,1.062998,0.371265,1.558712
point 262,,,,1.061976,0.354987,1.591747
point 263,,,,0.936817,0.459802,1.465638
point 264,,,,1.083480,0.356371,1.612465
point 265,,,,1.064823,0.351390,1.615194
point 266,,,,1.095052,0.345134,1.618850
point 267,,,,1.097450,0.323581,1.627086
point 268,,,,1.173432,0.257893,1.545538
point 269,,,,1.174402,0.284889,1.535899
point 27,,,,1.234099,-1.352177,1.938677
point 270,,,,1.147983,0.254913,1.557779
point 271,,,,1.130678,0.248331,1.570665
point 272,,,,1.126391,0.280752,1.581712
point 273,,,,1.152710,0.294228,1.537660
point 274,,,,1.208729,0.387782,1.431721
point 275,,,,1.203501,0.369630,1.432965
point 276,,,,1.210466,0.350049,1.452487
point 277,,,,1.221031,0.353732,1.485931
point 278,,,,1.235511,0.349956,1.495679
point 279,,,,1.189641,0.294765,1.464337
point 28,,,,1.227194,-1.332149,1.931374
point 280,,,,1.199964,0.299370,1.458427
point 281,,,,1.249773,0.292846,1.467789
point 282,,,,1.248463,0.303345,1.480456
point 283,,,,1.224195,0.320908,1.470331
point 284,,,,1.236019,0.326286,1.490356
point 285,,,,1.244826,0.335433,1.497888
point 286,,,,0.960938,0.407273,1.524598
point 287,,,,0.950681,0.421617,1.518943
point 288,,,,0.940100,0.399337,1.512420
point 289,,,,0.948190,0.453797,1.470539
point 29,,,,1.267546,-1.388225,1.909096
point 290,,,,0.926961,0.446157,1.461377
point 291,,,,0.894105,0.421259,1.472942
point 292,,,,0.917614,0.395195,1.481971
point 293,,,,0.911138,0.475392,1.455332
point 294,,,,0.897964,0.481012,1.446115
point 295,,,,0.901108,0.503238,1.415004
point 296,,,,0.907635,0.528225,1.441780
point 297,,,,0.931143,0.521264,1.453844
point 298,,,,0.864649,0.467094,1.464905
point 299,,,,0.711624,0.437149,1.428843
point 3,,,,1.449698,-1.417587,1.981632
point 30,,,,1.357674,-1.238070,1.929139
point 300,,,,0.754851,0.454892,1.434999
point 301,,,,0.761479,0.443047,1.445968
point 302,,,,0.677138,0.471663,1.434136
point 303,,,,0.673696,0.481412,1.332933
point 304,,,,0.661072,0.465593,1.325194
point 305,,,,0.627267,0.466290,1.314851
point 306,,,,0.582024,0.525520,1.266115
point 307,,,,0.618312,0.519775,1.275542
point 308,,,,0.677182,0.594698,1.284915
point 309,,,,0.800808,0.364816,1.483382
point 31,,,,1.250708,-1.180602,1.918663
point 310,,,,0.782387,0.334367,1.498355
point 311,,,,0.793715,0.339411,1.496615
point 312,,,,0.808712,0.341896,1.504345
point 313,,,,0.698399,0.374570,1.471598
point 314,,,,0.741919,0.339948,1.481838
point 315,,,,0.759176,0.320833,1.507633
point 316,,,,0.747156,0.308799,1.536332
point 317,,,,0.764471,0.335964,1.501661
point 318,,,,0.689961,0.313401,1.529466
point 319,,,,0.725772,0.289738,1.561641
point 32,,,,1.210833,-1.197599,1.930260
point 320,,,,0.741037,0.261919,1.583002
point 321,,,,0.717808,0.248609,1.581756
point 322,,,,0.530223,0.485901,1.308868
point 323,,,,0.501395,0.480535,1.302454
point 324,,,,0.517736,0.429511,1.294952
point 325,,,,0.571434,0.446317,1.348309
point 326,,,,0.595705,0.427979,1.353593
point 327,,,,0.534329,0.379887,1.342042
point 328,,,,0.567482,0.376977,1.376611
point 329,,,,0.530676,0.338676,1.355945
point 33,,,,1.182214,-1.227835,1.818470
point 330,,,,0.299262,0.293425,1.253823
point 331,,,,0.324358,0.311175,1.264136
point 332,,,,0.617924,0.427018,1.391453
point 333,,,,0.366099,0.250734,1.372146
point 334,,,,0.364246,0.237632,1.367089
point 335,,,,0.337102,0.223923,1.340940
point 336,,,,0.279448,0.196230,1.289396
point 337,,,,0.268991,0.210682,1.282309
point 338,,,,0.200074,-0.004498,1.296005
point 339,,,,0.916251,0.362439,1.582655
point 34,,,,1.207963,-1.204426,1.866672
point 340,,,,0.901114,0.360383,1.575494
point 341,,,,0.894138,0.377719,1.492369
point 342,,,,0.899076,0.363699,1.556609
point 343,,,,0.906549,0.322325,1.588035
point 344,,,,0.908362,0.289275,1.580652
point 345,,,,0.924457,0.312324,1.614975
point 346,,,,0.930820,0.302970,1.622899
point 347,,,,0.928845,0.317147,1.627636
point 348,,,,0.935884,0.325005,1.619158
point 349,,,,0.794587,0.205481,1.624019
point 35,,,,1.307718,-1.206374,1.903848
point 350,,,,0.836030,0.216255,1.586060
point 351,,,,0.836117,0.195827,1.613732
point 352,,,,0.830875,0.175769,1.611195
point 353,,,,0.851283,0.161940,1.611870
point 354,,,,0.888877,0.158646,1.607046
point 355,,,,0.940806,0.176208,1.605357
point 356,,,,0.955324,0.181896,1.606989
point 357,,,,0.969291,0.131939,1.600305
point 358,,,,0.928764,0.145427,1.617555
point 359,,,,1.062771,0.121110,1.609472
point 36,,,,1.295352,-1.028659,1.930770
point 360,,,,1.026181,0.088253,1.595647
point 361,,,,1.044923,0.130868,1.617953
point 362,,,,1.006080,0.127312,1.591853
point 363,,,,1.002553,0.071903,1.615283
point 364,,,,1.032558,0.141299,1.598679
point 365,,,,1.055599,0.314151,1.603919
point 366,,,,1.063239,0.294544,1.606848
point 37,,,,1.309569,-1.021000,1.944398
point 38,,,,1.299191,-0.996311,1.951839
point 39,,,,1.302743,-0.980891,1.919075
point 4,,,,1.473832,-1.326701,1.990949
point 40,,,,1.275133,-1.002720,1.902186
point 41,,,,1.312180,-0.941015,1.915029
point 42,,,,1.319040,-0.960012,1.947225
point 43,,,,1.355656,-1.000476,1.947653
point 44,,,,1.329816,-0.900400,1.907447
point 45,,,,1.300619,-0.898786,1.898667
point 46,,,,1.315164,-0.875576,1.888821
point 47,,,,1.324735,-0.854415,1.905490
point 48,,,,1.292439,-0.855792,1.879102
point 49,,,,1.239970,-0.950657,1.855892
point 5,,,,1.513249,-1.354259,2.023465
point 50,,,,1.425645,-0.997671,2.034122
point 51,,,,1.441487,-1.025520,2.033491
point 52,,,,1.700116,-0.887264,2.139077
point 53,,,,1.638883,-0.932969,2.202672
point 54,,,,1.692626,-0.928846,2.118347
point 55,,,,1.619634,-0.863065,2.174284
point 56,,,,1.595090,-0.918267,2.178674
point 57,,,,1.546270,-0.954495,2.163399
point 58,,,,1.537458,-0.945775,2.162927
point 59,,,,1.464784,-0.918315,2.158075
point 6,,,,1.509905,-1.327632,2.007108
point 60,,,,1.449352,-0.944403,2.115596
point 61,,,,1.415075,-0.902808,2.070473
point 62,,,,1.422933,-0.897221,2.094665
point 63,,,,1.431853,-0.919992,2.119451
point 64,,,,1.436069,-0.906154,2.125001
point 65,,,,1.437887,-0.886482,2.167858
point 66,,,,1.421147,-0.862519,2.121671
point 67,,,,1.491002,-0.826658,2.160268
point 68,,,,1.486251,-0.802727,2.166358
point 69,,,,1.458058,-0.828724,2.145691
point 7,,,,1.458060,-1.299325,1.992724
point 70,,,,1.501516,-0.784379,2.181219
point 71,,,,1.474183,-0.783433,2.169643
point 72,,,,1.425788,-0.800966,2.114785
point 73,,,,1.417785,-0.766713,2.127644
point 74,,,,1.449109,-0.699957,2.104532
point 75,,,,1.445896,-0.743933,2.015644
point 76,,,,1.434651,-0.736777,1.990291
point 77,,,,1.436616,-0.699714,2.211051
point 78,,,,1.526908,-0.697838,2.206179
point 79,,,,1.546718,-0.641596,2.168876
point 8,,,,1.526539,-1.107458,2.093086
point 80,,,,1.536075,-0.518472,2.122212
point 81,,,,1.567544,-0.596734,2.050846
point 82,,,,1.521612,-0.608576,2.080781
point 83,,,,1.670213,-0.454145,2.110936
point 84,,,,1.653008,-0.465164,2.108862
point 85,,,,1.628053,-0.483194,2.108879
point 86,,,,1.645959,-0.485215,2.103182
point 87,,,,1.625258,-0.520581,2.083332
point 88,,,,1.637443,-0.542806,2.051170
point 89,,,,1.653839,-0.510986,2.069677
point 9,,,,1.582443,-1.120066,2.094288
point 90,,,,1.741567,-0.500150,1.985480
point 91,,,,1.790689,-0.541857,2.012561
point 92,,,,1.795190,-0.582402,2.038057
point 93,,,,1.386719,-0.494379,1.899169
point 94,,,,1.377927,-0.479507,1.948480
point 95,,,,1.385819,-0.465707,2.001178
point 96,,,,1.477250,-0.549446,2.072002
point 97,,,,1.471078,-0.518523,2.084470
point 98,,,,1.461480,-0.691486,2.062978
point 99,,,,1.455512,-0.728453,2.024748
point 367,,,,1.460762,-0.008327,1.514863
point 368,,,,1.087813,-0.432079,1.602173
point 369,,,,1.202054,-0.174128,1.578129
point 370,,,,1.142766,-0.183136,1.527214
point 371,,,,1.179033,-0.120800,1.540908
point 372,,,,1.181665,-0.090210,1.540957
point 373,,,,1.140912,-0.136151,1.534246
point 374,,,,1.149317,-0.161579,1.523244
point 375,,,,1.102802,-0.094960,1.564565
point 376,,,,1.129863,-0.226335,1.588366
point 377,,,,1.129986,-0.251245,1.597931
point 378,,,,1.081021,-0.118357,1.551040
point 379,,,,1.089749,-0.042324,1.566134
point 380,,,,0.953855,0.119800,1.605738
point 381,,,,0.940137,0.038535,1.625107
point 382,,,,0.939926,0.058254,1.630432
point 383,,,,0.937961,0.067102,1.617829
point 384,,,,0.588463,-0.051655,1.603967
point 385,,,,0.545152,-0.021557,1.608022
point 386,,,,0.588256,-0.036402,1.580545
point 387,,,,0.529183,-0.012348,1.601288
point 388,,,,0.578118,-0.028867,1.566826
point 389,,,,0.233015,0.202020,1.283041
point 390,,,,0.237983,0.163272,1.297173
point 391,,,,0.244952,0.081615,1.312403
point 392,,,,0.339704,0.114325,1.347549
point 393,,,,0.336470,0.127268,1.353513
point 394,,,,0.336589,0.120143,1.336821
point 395,,,,0.337621,0.108808,1.405019
point 396,,,,0.343050,0.096888,1.415676
point 397,,,,0.344180,-0.098816,1.386369
point 398,,,,0.335103,-0.104937,1.379668
point 399,,,,0.327592,-0.110599,1.374215
point 400,,,,0.315810,-0.111041,1.367916
point 401,,,,0.314536,-0.081744,1.376682
point 402,,,,0.268298,-0.159113,1.360421
point 403,,,,0.245894,-0.146959,1.356826
point 404,,,,0.280741,-0.205478,1.372202
point 405,,,,0.305898,-0.164866,1.366539
point 406,,,,0.262798,-0.074439,1.385714
point 407,,,,0.263047,-0.119474,1.400651
point 408,,,,0.139832,0.037937,1.243426
point 409,,,,0.141963,0.045984,1.240980
point 410,,,,0.150843,0.053973,1.250729
point 411,,,,0.199089,0.313526,1.223152
point 412,,,,0.314887,0.110653,1.320248
point 413,,,,0.259737,0.117316,1.313956
point 414,,,,0.277207,0.148260,1.336354
point 415,,,,0.351136,0.069451,1.334044
point 416,,,,0.421912,0.575744,1.186212
point 417,,,,0.432117,0.540994,1.197202
point 418,,,,0.366362,0.547184,1.264418
point 419,,,,0.571071,0.579088,1.223113
point 420,,,,0.560277,0.606346,1.182609
point 421,,,,0.502549,0.666383,1.149679
point 422,,,,0.516794,0.698265,1.146015
point 423,,,,0.591732,0.625272,1.163033
point 424,,,,0.541286,0.642756,1.132208
point 425,,,,0.600986,0.682178,1.159721
point 426,,,,0.578917,0.628753,1.138346
point 427,,,,0.593334,0.718125,1.149725
point 428,,,,0.630751,0.530378,1.276357
point 429,,,,0.642038,0.545760,1.282383
point 430,,,,0.657774,0.551814,1.272636
point 431,,,,0.664917,0.575718,1.256966
point 432,,,,0.663488,0.783518,1.146862
point 433,,,,0.679380,0.770438,1.150307
point 434,,,,0.534807,0.700465,1.130355
point 435,,,,0.737550,0.593076,1.315766
point 436,,,,0.637034,0.185226,1.518307
point 437,,,,0.627778,0.189579,1.501379
point 438,,,,0.626401,0.205001,1.505999
point 439,,,,0.411679,-0.112052,1.410724
point 440,,,,0.646555,-0.469393,1.550524
point 441,,,,0.898657,-0.567619,1.634890
point 442,,,,0.879655,-0.207501,1.652534
point 443,,,,0.883395,-0.233923,1.643459
point 444,,,,0.745939,-0.327321,1.567356
point 445,,,,0.794013,-0.358446,1.580870
point 446,,,,0.843552,0.052023,1.646647
Model_corner_1,,,,0.545238,-2.630750,1.850657
Model_corner_2,,,,-1.045346,1.138633,0.566755
Model_corner_3,,,,1.665018,2.360701,0.823069
Model_corner_4,,,,3.038527,-1.219492,2.706118
point 447,,,,0.660550,0.386262,1.445262
point 448,,,,0.703031,0.313375,1.543817
point 449,,,,0.688250,0.274620,1.558657
point 450,,,,0.703143,0.216651,1.608367
IMGP6463.JPG,,,,-0.911789,1.117264,1.775186
IMGP6464.JPG,,,,-0.858887,1.188730,1.755115
IMGP6465.JPG,,,,-0.028614,1.976003,1.893846
IMGP6466.JPG,,,,0.037933,1.988779,1.932436
IMGP6467.JPG,,,,0.073261,1.892994,1.933941
IMGP6468.JPG,,,,0.132234,1.802975,1.946198
IMGP6469.JPG,,,,0.108189,1.673968,1.937133
IMGP6470.JPG,,,,0.108448,1.533619,1.948572
IMGP6471.JPG,,,,0.092529,1.413022,1.999213
IMGP6472.JPG,,,,0.076034,1.265879,2.051916
IMGP6473.JPG,,,,0.051822,1.097382,2.102730
IMGP6474.JPG,,,,0.043332,0.952061,2.139183
IMGP6475.JPG,,,,0.034932,0.803181,2.157035
IMGP6476.JPG,,,,0.006489,0.597524,2.225800
IMGP6477.JPG,,,,-0.012458,0.400690,2.318415
IMGP6478.JPG,,,,-0.006624,0.227979,2.369054
IMGP6479.JPG,,,,-0.010644,0.050036,2.405017
IMGP6480.JPG,,,,-0.032386,-0.218988,2.482969
IMGP6481.JPG,,,,0.017981,-0.370824,2.543296
IMGP6482.JPG,,,,0.061203,-0.502797,2.633864
IMGP6483.JPG,,,,0.184124,-0.547636,2.694901
IMGP6484.JPG,,,,0.295606,-0.546092,2.749863
IMGP6485.JPG,,,,0.383031,-0.505735,2.749578
IMGP6486.JPG,,,,0.421365,-0.358712,2.744581
IMGP6487.JPG,,,,0.381732,-0.199951,2.706572
IMGP6488.JPG,,,,0.311872,-0.098805,2.663139
IMGP6489.JPG,,,,0.278855,0.037997,2.597277
IMGP6490.JPG,,,,0.292944,0.215056,2.540997
IMGP6491.JPG,,,,0.318569,0.364455,2.507639
IMGP6492.JPG,,,,0.325501,0.476842,2.443473
IMGP6493.JPG,,,,0.341795,0.646059,2.353340
IMGP6494.JPG,,,,0.347631,0.819242,2.319249
IMGP6495.JPG,,,,0.357014,0.949826,2.246791
IMGP6496.JPG,,,,0.367886,1.101132,2.172230
IMGP6497.JPG,,,,0.367519,1.245025,2.109774
IMGP6498.JPG,,,,0.407891,1.409011,2.054641
IMGP6499.JPG,,,,0.455633,1.524484,2.035851
IMGP6500.JPG,,,,0.603742,1.361661,2.371654
IMGP6501.JPG,,,,0.625413,1.311651,2.354220
IMGP6502.JPG,,,,0.636147,1.212386,2.326650
IMGP6503.JPG,,,,0.647688,1.070713,2.361260
IMGP6504.JPG,,,,0.654299,0.939302,2.391326
IMGP6505.JPG,,,,0.672458,0.797821,2.413656
IMGP6506.JPG,,,,0.650173,0.614688,2.482762
IMGP6507.JPG,,,,0.650449,0.470071,2.523022
IMGP6508.JPG,,,,0.658106,0.362481,2.554544
IMGP6509.JPG,,,,0.615035,0.183384,2.613091
IMGP6510.JPG,,,,0.596884,0.000116,2.677508
IMGP6511.JPG,,,,0.578755,-0.135185,2.736065
IMGP6512.JPG,,,,0.576109,-0.274501,2.769571
IMGP6513.JPG,,,,0.559461,-0.484106,2.819906
IMGP6514.JPG,,,,0.522656,-0.723048,2.909206
IMGP6515.JPG,,,,0.499116,-0.911717,3.002490
IMGP6516.JPG,,,,0.530892,-1.064965,3.050337
IMGP6517.JPG,,,,0.660362,-1.146442,3.129735
IMGP6518.JPG,,,,0.738464,-1.132866,3.197067
IMGP6519.JPG,,,,0.792609,-1.118681,3.197905
IMGP6520.JPG,,,,0.824844,-1.022949,3.172079
IMGP6521.JPG,,,,0.785729,-0.932623,3.143971
IMGP6522.JPG,,,,0.768714,-0.852196,3.077746
IMGP6523.JPG,,,,0.769589,-0.677093,3.064223
IMGP6524.JPG,,,,0.762388,-0.587036,3.032319
IMGP6525.JPG,,,,0.785988,-0.452700,2.963273
IMGP6526.JPG,,,,0.816250,-0.246361,2.938104
IMGP6527.JPG,,,,0.854534,-0.163539,2.991902
IMGP6528.JPG,,,,0.918351,-0.045362,3.034454
IMGP6529.JPG,,,,0.984693,0.121677,3.038004
IMGP6530.JPG,,,,1.059484,0.305497,3.020393
IMGP6531.JPG,,,,1.091737,0.407979,2.994598
IMGP6532.JPG,,,,1.172656,0.596288,2.919134
IMGP6533.JPG,,,,1.171197,0.797008,2.862217
IMGP6534.JPG,,,,1.208337,0.934397,2.771510
IMGP6535.JPG,,,,1.266888,1.088544,2.676628
IMGP6536.JPG,,,,1.301032,1.305122,2.590194
IMGP6537.JPG,,,,0.975134,1.305562,2.416060
IMGP6538.JPG,,,,0.933471,1.162253,2.500289
IMGP6539.JPG,,,,0.853109,0.946043,2.532717
IMGP6540.JPG,,,,0.824703,0.695456,2.601354
IMGP6541.JPG,,,,0.797771,0.460927,2.680238
IMGP6542.JPG,,,,0.762810,0.259144,2.729983
IMGP6543.JPG,,,,0.793339,0.103142,2.770885
IMGP6544.JPG,,,,0.754924,-0.046996,2.892784
IMGP6545.JPG,,,,0.663115,-0.328413,2.993169
IMGP6546.JPG,,,,0.624764,-0.569614,3.067231
IMGP6547.JPG,,,,0.586091,-0.798731,3.130412
IMGP6548.JPG,,,,0.529542,-1.024621,3.161953
IMGP6549.JPG,,,,0.468831,-1.283767,3.265756
IMGP6550.JPG,,,,-0.188646,-1.689382,3.441156
IMGP6551.JPG,,,,-0.203147,-1.754968,3.389588
IMGP6552.JPG,,,,-0.226554,-1.841910,3.406896
IMGP6553.JPG,,,,-0.221017,-1.990129,3.390669
IMGP6554.JPG,,,,-0.052138,-1.973669,3.327494
IMGP6555.JPG,,,,0.047513,-1.908227,3.336579
IMGP6556.JPG,,,,0.208719,-1.852275,3.294275
IMGP6557.JPG,,,,0.395653,-1.725389,3.318438
IMGP6558.JPG,,,,0.480704,-1.626272,3.342789
IMGP6559.JPG,,,,0.492126,-1.573548,3.372532
IMGP6560.JPG,,,,0.706883,-1.352353,3.321475
IMGP6561.JPG,,,,0.792497,-1.204883,3.332131
IMGP6562.JPG,,,,0.904442,-1.132095,3.258714
IMGP6563.JPG,,,,1.060937,-1.005733,3.259597
IMGP6564.JPG,,,,1.215421,-0.854458,3.298618
IMGP6565.JPG,,,,1.304982,-0.740325,3.329354
IMGP6566.JPG,,,,1.394803,-0.662326,3.304470
IMGP6567.JPG,,,,1.505392,-0.510270,3.304316
IMGP6568.JPG,,,,1.593590,-0.314799,3.292299
IMGP6569.JPG,,,,1.647597,-0.175979,3.262394
IMGP6570.JPG,,,,1.682995,0.036407,3.258242
IMGP6571.JPG,,,,1.657915,0.154859,3.264809
IMGP6572.JPG,,,,1.722677,0.262547,3.189150
IMGP6573.JPG,,,,1.757833,0.448051,3.127053
IMGP6574.JPG,,,,1.748243,0.646819,3.117831
IMGP6575.JPG,,,,1.717891,0.750209,3.051729
IMGP6576.JPG,,,,1.699189,0.898921,2.924865
IMGP6577.JPG,,,,1.618246,1.091041,2.842716
IMGP6578.JPG,,,,1.545676,1.196465,2.749459
IMGP6579.JPG,,,,1.471728,1.302157,2.620968
IMGP6580.JPG,,,,1.313161,1.476181,2.490360
IMGP6581.JPG,,,,1.167549,1.604198,2.422106
IMGP6582.JPG,,,,1.036088,1.697606,2.323448
IMGP6583.JPG,,,,0.864208,1.779197,2.170853
