# Label	X est	Y est	Z est
Marker 1	0.014326	-0.021865	1.824433
Marker 2	0.008289	1.036191	1.826273
Marker 3	0.977385	0.985674	1.530893
point 1	0.70092	0.18441	1.684831
point 10	0.89282	0.103139	1.656465
point 100	0.993895	0.274632	1.648681
point 101	0.984584	0.296053	1.648718
point 102	1.038582	0.312613	1.646283
point 103	1.010795	0.280247	1.660927
point 104	1.063997	0.306627	1.642632
point 105	1.058028	0.256068	1.652034
point 106	1.041103	0.261183	1.654022
point 107	1.067211	0.226737	1.648868
point 108	1.083287	0.294673	1.641735
point 109	1.080252	0.308363	1.634137
point 11	0.904381	0.163645	1.633223
point 110	1.069309	0.287528	1.647347
point 111	1.071674	0.281108	1.65146
point 112	1.065458	0.313404	1.640844
point 113	1.074994	0.288192	1.645269
point 114	1.082003	0.284239	1.663545
point 115	1.086085	0.275494	1.667324
point 116	1.093656	0.281979	1.671355
point 117	1.076427	0.212706	1.683106
point 118	1.071259	0.219029	1.672821
point 119	1.094266	0.239723	1.665803
point 12	0.901963	0.159308	1.658695
point 120	1.103643	0.301678	1.659696
point 121	1.096906	0.268804	1.671024
point 122	1.111177	0.296149	1.671271
point 123	1.109757	0.284186	1.678821
point 124	1.112919	0.273927	1.678758
point 125	1.119983	0.282802	1.679486
point 126	1.123795	0.2938	1.669666
point 127	1.12933	0.306076	1.669084
point 128	1.134443	0.302118	1.669669
point 129	1.145407	0.301887	1.669457
point 13	0.908986	0.129268	1.666348
point 130	1.159802	0.320081	1.6682
point 131	1.125427	0.245125	1.65947
point 132	1.105333	0.246691	1.662632
point 133	1.112421	0.26027	1.67656
point 134	1.125419	0.266505	1.682007
point 135	1.13412	0.281505	1.674587
point 14	0.821714	0.429734	1.60601
point 15	0.794386	0.407024	1.613078
point 16	0.817175	0.37583	1.633643
point 17	0.837318	0.372328	1.618817
point 18	0.845619	0.383471	1.625641
point 19	0.852831	0.391582	1.631419
point 2	0.738149	0.217948	1.687862
point 20	0.839643	0.403039	1.642583
point 21	0.853163	0.421766	1.638663
point 22	0.865956	0.437726	1.622355
point 23	0.875502	0.422635	1.640387
point 24	0.821049	0.484228	1.563638
point 25	0.865864	0.479907	1.584639
point 26	0.878949	0.474056	1.600527
point 27	0.88719	0.463847	1.60338
point 28	0.892136	0.487718	1.598284
point 29	0.896771	0.46635	1.606156
point 3	0.603597	0.053202	1.651577
point 30	0.846937	0.469275	1.552947
point 31	0.875512	0.454974	1.58664
point 32	0.917415	0.477172	1.593479
point 33	0.906164	0.486345	1.595074
point 34	0.914481	0.482235	1.588152
point 35	0.906607	0.469401	1.609578
point 36	0.917375	0.467287	1.605612
point 37	0.909454	0.476963	1.601811
point 38	0.908845	0.456372	1.620874
point 39	0.923565	0.445184	1.620006
point 4	0.56043	0.044269	1.697169
point 40	0.867201	0.441363	1.607323
point 41	0.922109	0.424393	1.632636
point 42	0.918334	0.436876	1.628736
point 43	0.907775	0.436509	1.634307
point 44	0.896095	0.415296	1.640634
point 45	0.912419	0.422648	1.63922
point 46	0.954568	0.419072	1.597566
point 47	0.968902	0.418053	1.594374
point 48	1.063439	0.415249	1.582484
point 49	0.969504	0.479901	1.520475
point 5	0.725088	-0.122452	1.664114
point 50	1.006449	0.467689	1.549585
point 51	1.109833	0.463787	1.583234
point 52	1.083721	0.456418	1.595025
point 53	1.044829	0.443842	1.592259
point 54	1.126575	0.43918	1.60944
point 55	1.098688	0.44095	1.610019
point 56	1.087217	0.433707	1.610979
point 57	1.102403	0.417423	1.633133
point 58	1.094218	0.403744	1.637291
point 59	1.080534	0.389734	1.645273
point 6	0.889533	0.028325	1.61476
point 60	1.076276	0.400028	1.638229
point 61	1.066334	0.384252	1.63807
point 62	1.059956	0.353295	1.617721
point 63	1.053514	0.368794	1.62245
point 64	1.029421	0.372968	1.623216
point 65	1.007046	0.375769	1.619634
point 66	1.031478	0.35198	1.636929
point 67	1.023949	0.341513	1.645775
point 68	1.009665	0.364176	1.629649
point 69	1.000624	0.355714	1.63543
point 7	0.909709	0.077261	1.642807
point 70	0.985488	0.359857	1.62534
point 71	0.991385	0.381798	1.594776
point 72	0.964515	0.35654	1.621684
point 73	0.968891	0.342279	1.625741
point 74	0.990243	0.344575	1.637548
point 75	1.00451	0.330217	1.638607
point 76	0.982298	0.327384	1.640687
point 77	1.017367	0.320978	1.642621
point 78	0.968405	0.310616	1.637799
point 79	0.959671	0.3221	1.632736
point 8	0.92255	0.117631	1.667799
point 80	0.952738	0.330911	1.621843
point 81	0.947602	0.31739	1.630262
point 82	0.99232	0.312806	1.638601
point 83	0.937726	0.310446	1.625316
point 84	0.930769	0.297549	1.615023
point 85	0.919954	0.297139	1.607282
point 86	0.929048	0.28934	1.610992
point 87	0.917311	0.279656	1.603886
point 88	0.930083	0.268376	1.602845
point 89	0.950387	0.294394	1.630135
point 9	0.92633	0.097966	1.656156
point 90	0.960723	0.264104	1.608254
point 91	0.931358	0.226414	1.591328
point 92	0.931464	0.20881	1.618324
point 93	0.938971	0.218059	1.616374
point 94	0.946062	0.225332	1.604469
point 95	0.957513	0.219038	1.628149
point 96	0.964281	0.234576	1.61582
point 97	0.982403	0.258671	1.637618
point 98	0.975483	0.279514	1.63955
point 99	0.9841	0.271674	1.643505
point 136	1.091403	0.204878	1.713615
point 137	1.089714	0.183455	1.73022
point 138	1.11455	0.199143	1.720188
point 139	1.111443	0.189507	1.732015
point 140	1.092338	0.190171	1.726406
point 141	1.149479	0.277722	1.670241
point 142	1.150459	0.253332	1.666525
point 143	1.164199	0.277363	1.661468
point 144	1.176918	0.269275	1.654922
point 145	1.172923	0.262782	1.666753
point 146	1.183115	0.257365	1.658691
point 147	1.183108	0.236541	1.657289
point 148	1.170206	0.249741	1.665613
point 149	1.19898	0.236354	1.632706
point 150	1.230025	0.182519	1.687059
point 151	1.208335	0.186088	1.70733
point 152	1.198199	0.18538	1.706287
point 153	1.152951	0.159525	1.78628
point 154	1.173949	0.159715	1.768591
point 155	1.16046	0.182193	1.76529
point 156	1.158326	0.198726	1.729725
point 157	1.193394	0.176619	1.729535
point 158	1.291918	0.179743	1.645245
point 159	1.285995	0.19563	1.628744
point 160	1.301624	0.186573	1.626927
point 161	1.309833	0.188392	1.604521
point 162	1.314813	0.198521	1.574336
point 163	1.289057	0.218907	1.60102
point 164	1.262969	0.237116	1.581396
point 165	1.249925	0.262925	1.60559
point 166	1.200439	0.273481	1.616585
point 167	1.231799	0.271876	1.615441
point 168	1.266537	0.248176	1.55441
point 169	1.270242	0.225369	1.521804
point 170	1.243222	0.257626	1.551144
point 171	1.251923	0.253319	1.530152
point 172	1.240117	0.269468	1.542203
point 173	1.243891	0.267315	1.52608
point 174	1.249578	0.261077	1.508238
point 175	1.238706	0.30469	1.538386
point 176	1.25412	0.256423	1.496971
point 177	1.259322	0.247087	1.477862
point 178	1.267077	0.222394	1.455975
point 179	1.262376	0.24149	1.499649
point 180	1.306188	0.400135	1.517122
point 181	1.347854	0.366653	1.429768
point 182	1.361699	0.327161	1.392832
point 183	1.375396	0.336322	1.359759
point 184	1.373106	0.307887	1.413907
point 185	1.369161	0.312052	1.388775
point 186	1.372359	0.292063	1.387336
point 187	1.377202	0.292679	1.378517
point 188	1.390122	0.273068	1.381737
point 189	1.36933	0.276417	1.403031
point 190	1.389292	0.255937	1.399454
point 191	1.371876	0.259458	1.409814
point 192	1.355812	0.261721	1.413087
point 193	1.386375	0.242361	1.402101
point 194	1.394591	0.247378	1.384145
point 195	1.373981	0.313232	1.374085
point 196	1.378958	0.264963	1.398777
point 197	1.340488	0.289506	1.417116
point 198	1.382682	0.216783	1.42036
point 199	1.365991	0.235149	1.422329
point 200	1.345031	0.235339	1.418655
point 201	1.358933	0.226232	1.422451
point 202	1.364948	0.212207	1.42697
point 203	1.389129	0.190648	1.404383
point 204	1.330175	0.240733	1.42141
point 205	1.320157	0.231029	1.432836
point 206	1.311651	0.218943	1.43948
point 207	1.32786	0.212983	1.431925
point 209	1.375866	0.190343	1.417616
point 210	1.350903	0.194949	1.425443
point 211	1.347452	0.210274	1.422012
point 212	1.334789	0.218616	1.423413
point 213	1.332682	0.194509	1.435818
point 214	1.267661	0.235511	1.533031
point 215	1.323848	0.204107	1.439206
point 216	1.297308	0.201186	1.440549
point 217	1.286116	0.13481	1.705815
point 218	1.336391	0.146571	1.70141
point 219	1.336579	0.163424	1.69546
point 220	1.347834	0.182486	1.685908
point 221	1.368505	0.179082	1.674434
point 222	1.393198	0.16494	1.670348
point 223	1.388976	0.168263	1.641824
point 224	1.398447	0.178331	1.614966
point 225	1.438631	0.075457	1.636051
point 226	1.401985	0.077952	1.70291
point 227	1.369969	0.474556	1.423855
point 228	1.438729	0.432665	1.386254
point 229	1.423011	0.441228	1.39069
point 230	1.409939	0.46738	1.394068
point 231	1.40316	0.435859	1.409875
point 232	1.408869	0.403766	1.418053
point 233	1.40224	0.419676	1.411616
point 234	1.388698	0.3798	1.413416
point 235	1.367723	0.369813	1.413117
point 236	1.389107	0.423979	1.422253
point 237	1.387491	0.409961	1.422486
point 238	1.378033	0.402678	1.416706
point 239	1.395676	0.40322	1.429595
