# Label	X est	Y est	Z est
Marker_point_1	0.006958	-0.004868	0.916521
Marker_point_2	-0.002234	1.011825	0.913719
Marker_point_3	0.995276	0.993042	1.21776
point 1	1.318661	0.550019	1.254803
point 10	1.001027	0.663501	1.268669
point 100	1.088148	0.436176	1.428364
point 101	1.091119	0.4278	1.433293
point 102	1.067301	0.373818	1.425897
point 103	1.006529	0.420653	1.406602
point 104	1.12454	0.338386	1.425674
point 105	1.027578	0.331489	1.395744
point 106	1.116726	0.309847	1.360997
point 107	1.528888	0.289348	1.287852
point 108	1.534916	0.302927	1.290653
point 109	1.524205	0.276615	1.268375
point 11	1.064438	0.624754	1.341275
point 110	1.293613	0.109359	1.292214
point 111	1.037993	0.311926	1.336521
point 112	0.967531	0.33179	1.343635
point 113	0.968342	0.293397	1.43043
point 114	0.961052	0.307983	1.399698
point 115	0.993303	0.259724	1.403161
point 116	0.952667	0.232057	1.39823
point 117	0.966565	0.242368	1.388899
point 118	0.955898	0.261356	1.397909
point 119	0.926271	0.246463	1.378636
point 12	1.025156	0.599547	1.34696
point 120	0.89872	0.21005	1.391897
point 121	0.891865	0.197047	1.39011
point 122	0.937712	0.213636	1.381811
point 123	0.948295	0.205369	1.395559
point 124	0.943626	0.191517	1.385075
point 125	0.94273	0.17571	1.375202
point 126	0.931004	0.163059	1.370569
point 127	0.9238	0.175047	1.351409
point 128	0.910235	0.200929	1.382594
point 129	0.964114	0.197045	1.414073
point 13	1.109127	0.524705	1.3232
point 130	0.95895	0.208484	1.397007
point 131	1.027754	0.177926	1.455801
point 132	0.992462	0.166027	1.466995
point 133	0.98935	0.212973	1.452978
point 134	0.925147	0.134815	1.434672
point 135	0.936893	0.120818	1.44776
point 136	0.586966	0.508184	1.238588
point 137	0.652282	0.500521	1.279421
point 138	0.643886	0.506272	1.271478
point 139	0.704951	0.112668	1.412879
point 14	1.052008	0.484037	1.358402
point 140	0.603463	0.286784	1.393529
point 141	0.608503	0.26915	1.397662
point 142	0.591992	0.264045	1.382195
point 143	0.586131	0.245923	1.38191
point 144	0.596715	0.277281	1.382758
point 145	0.566228	0.236731	1.36892
point 146	0.582123	0.224895	1.357373
point 147	0.579607	0.219096	1.361616
point 148	0.621761	0.316835	1.409192
point 149	0.644511	0.222395	1.434145
point 15	1.079934	0.589327	1.340706
point 150	0.777881	-0.017554	1.280253
point 151	0.688575	0.075971	1.330906
point 152	0.690459	0.075775	1.395674
point 153	0.713894	0.065	1.440535
point 154	0.747799	0.030021	1.321094
point 155	0.656402	0.684196	1.278691
point 156	0.766951	0.658836	1.233269
point 157	0.700538	0.631801	1.2952
point 158	0.716105	0.626753	1.320865
point 159	0.703369	0.615233	1.327401
point 16	1.013119	0.495745	1.390322
point 160	0.727481	0.619089	1.35136
point 161	0.741533	0.621654	1.353866
point 162	0.733711	0.594874	1.361404
point 163	0.57188	0.664962	1.250458
point 164	0.530806	0.593291	1.257173
point 165	0.571355	0.540757	1.236074
point 166	0.594369	0.52874	1.230174
point 167	0.862655	0.694149	1.331335
point 168	0.832025	0.670965	1.321367
point 169	0.861972	0.675814	1.330658
point 17	1.001774	0.510832	1.387642
point 170	0.84327	0.655724	1.319372
point 171	0.845993	0.640881	1.319429
point 172	0.861426	0.64568	1.330098
point 173	0.834873	0.651376	1.305397
point 174	0.848112	0.669074	1.323211
point 175	0.87727	0.601629	1.286371
point 176	0.901894	0.635708	1.339293
point 177	0.906409	0.647945	1.333859
point 178	0.918797	0.653558	1.338198
point 179	0.929206	0.641201	1.34643
point 18	0.993613	0.510375	1.385508
point 180	0.920311	0.639692	1.342752
point 181	0.897127	0.589629	1.349259
point 182	0.881737	0.584199	1.335445
point 183	0.901677	0.621597	1.322718
point 184	0.842342	0.576557	1.329446
point 185	0.857677	0.576572	1.346765
point 186	0.853927	0.566082	1.35145
point 187	0.851571	0.555713	1.35667
point 188	0.853234	0.548712	1.360396
point 189	0.842423	0.55002	1.335879
point 19	0.980435	0.549742	1.391838
point 190	0.965509	0.669215	1.273001
point 191	0.97385	0.619254	1.33676
point 192	1.054142	0.817016	1.277324
point 193	1.075926	0.81843	1.274854
point 194	0.925128	0.803962	1.289113
point 195	1.037305	0.432537	1.426803
point 196	0.947852	0.136756	1.457724
point 197	0.957719	0.131033	1.462268
point 198	0.982234	0.129088	1.47763
point 199	0.997185	0.103425	1.469849
point 2	1.416413	0.456127	1.291628
point 20	0.941477	0.557586	1.371579
point 200	1.010261	0.085989	1.457103
point 201	0.982889	0.087913	1.45881
point 202	0.959932	0.110179	1.451909
point 203	0.790635	-0.103824	1.360485
point 204	0.711269	-0.113562	1.33305
point 205	0.698945	-0.160756	1.33655
point 206	0.784302	-0.130725	1.363147
point 207	0.757235	-0.157732	1.344143
point 208	0.538516	-0.178324	1.159945
point 209	0.472461	0.17129	1.293805
point 21	0.976574	0.588365	1.339108
point 210	0.467454	0.196307	1.288215
point 211	0.480938	0.236825	1.299929
point 212	0.51434	0.15503	1.320484
point 213	0.576467	0.406571	1.395231
point 214	0.565176	0.409467	1.391183
point 215	0.461762	0.403819	1.346393
point 216	0.49023	0.38561	1.370283
point 217	0.476455	0.437049	1.339316
point 218	0.405068	0.326323	1.289386
point 219	0.510278	0.391705	1.373939
point 22	0.980863	0.479706	1.385081
point 220	0.38306	0.312265	1.281319
point 221	0.51858	0.32465	1.37363
point 222	0.603187	0.320697	1.402761
point 223	0.378868	0.513156	1.164782
point 224	0.37093	0.542856	1.151161
point 225	0.411253	0.530421	1.197515
point 226	0.446298	0.586383	1.202495
point 227	0.513745	0.644251	1.103465
point 228	0.478349	0.612873	1.203921
point 229	0.471229	0.584149	1.202406
point 23	0.962859	0.479894	1.381366
point 230	0.480809	0.573329	1.207444
point 231	0.505205	0.567043	1.21182
point 232	0.487216	0.557696	1.217547
point 233	0.339937	0.42341	1.063811
point 234	0.349853	0.442505	1.192126
point 235	0.341141	0.424054	1.118137
