# Label	X est	Y est	Z est
point 242	0.225917	0.708301	1.006424
point 243	0.347986	0.465195	1.194054
point 244	0.356973	0.464322	1.189594
point 245	0.366283	0.467968	1.181679
point 246	0.382507	0.461519	1.181726
point 247	0.378672	0.465753	1.177429
point 248	0.407339	0.445628	1.172516
point 249	0.398064	0.433316	1.193502
point 25	0.583037	0.40671	1.091142
point 250	0.383802	0.543698	1.16864
point 251	0.302819	0.581269	1.06955
point 252	0.277314	0.562771	1.045233
point 253	0.218249	0.733648	0.994758
point 254	0.197275	0.715815	1.00065
point 255	0.203829	0.705589	1.010916
point 256	0.219126	0.697155	1.013583
point 257	0.231782	0.673858	1.018484
point 258	0.22141	0.722362	1.002756
point 259	0.198502	0.669059	1.021689
point 26	0.483027	0.402663	1.12556
point 260	0.238247	0.658989	1.034159
point 261	0.206291	0.616585	1.066377
point 262	0.224055	0.62221	1.078404
point 263	0.248263	0.617681	1.072602
point 264	0.248373	0.614707	1.097035
point 265	0.242458	0.602725	1.107734
point 266	0.192808	0.597373	1.101146
point 267	0.071554	0.666047	0.990328
point 268	0.151566	0.634248	1.032197
point 269	0.14436	0.622093	1.051117
point 27	0.536566	0.472685	1.023123
point 270	0.139837	0.595963	1.116427
point 271	0.155554	0.603456	1.095179
point 272	0.143074	0.581685	1.134918
point 273	0.16578	0.566708	1.129908
point 274	0.168577	0.548147	1.137098
point 275	0.128228	0.559432	1.137916
point 276	0.153206	0.572978	1.1345
point 277	0.412541	0.741094	0.961739
point 278	0.396044	0.788905	0.962204
point 279	0.286878	0.808873	0.972189
point 28	0.523642	0.459376	1.038854
point 280	0.24797	0.905578	1.023481
point 281	0.26257	0.90861	1.015063
point 282	0.165554	0.949551	1.005163
point 283	0.148083	0.943029	1.024845
point 284	0.143851	0.947899	1.006186
point 285	0.153064	0.950597	1.003383
point 286	0.067865	0.945258	1.083582
point 287	0.081949	0.952195	1.047988
point 288	0.082697	0.926515	1.067967
point 289	0.132323	1.003884	0.990266
point 29	0.508862	0.489048	1.035271
point 290	0.252521	0.96802	0.980453
point 291	0.21403	1.030721	0.935964
point 292	0.206193	1.065441	0.936849
point 293	0.276873	1.034454	0.896601
point 294	0.266318	0.980427	0.962567
point 295	0.267504	0.965729	0.979346
point 296	0.154052	1.070598	0.939725
point 297	0.136069	1.071514	0.933373
point 298	0.093631	1.055936	0.969506
point 299	0.114633	1.036836	0.987195
point 3	0.356299	0.231289	1.379927
point 30	0.495846	0.507543	1.04451
point 300	0.207758	1.062355	0.885756
point 301	0.508583	0.969642	0.985605
point 302	0.52145	1.008289	0.953531
point 303	0.529449	1.019455	0.949319
point 304	0.520063	1.016854	0.936159
point 305	0.544187	1.023567	0.940285
point 306	0.578557	1.009335	0.953181
point 307	0.601223	0.996298	0.926647
point 308	0.576387	1.075869	0.921579
point 309	0.584364	1.083242	0.916897
point 31	0.490307	0.482806	1.050375
point 310	0.599789	1.083719	0.90909
point 311	0.668765	1.021955	0.907963
point 312	0.615632	1.0913	0.888172
point 313	0.611751	1.129005	0.837643
point 314	0.558919	1.081927	0.90349
point 315	0.573164	1.14754	0.81163
point 316	0.565838	1.147059	0.787217
point 317	0.510979	1.092286	0.878527
point 318	0.510262	1.074016	0.887659
point 319	0.462419	0.978596	0.924002
point 32	0.482622	0.451697	1.066552
point 320	0.444226	1.014625	0.892894
point 321	0.440572	1.04836	0.897579
point 322	0.456243	1.06281	0.889503
point 323	0.34629	1.018604	0.861583
point 324	0.307237	1.060784	0.847047
point 325	0.377972	1.053913	0.875679
point 326	0.397793	1.047771	0.857981
point 327	0.402791	1.04282	0.86505
point 328	0.419413	1.088811	0.872119
point 329	0.436828	1.110587	0.839662
point 33	0.461134	0.491244	1.071126
point 330	0.426746	1.108533	0.8452
point 331	0.372251	1.109128	0.843426
point 332	0.370712	1.118467	0.82957
point 333	0.379423	1.117876	0.828216
point 334	0.481994	1.087532	0.880777
point 335	0.489034	1.098607	0.855485
point 336	0.631261	1.12933	0.799453
point 337	0.64467	1.139399	0.783023
point 338	0.599813	1.155854	0.772367
point 339	0.59613	1.165733	0.753144
point 34	0.579786	0.540423	0.955311
point 340	0.597246	1.160394	0.720153
point 341	0.578899	1.156457	0.704689
point 342	0.570066	1.148988	0.713085
point 343	0.552416	1.151196	0.720999
